time,mode,aspd,gspd,lat,lon,r,p,y,alt,navr,navp,navy,navalt,navspeed,hdop,sat,turn,bearing,rad,latacc,climb,srv0,srv1,srv2,srv3,lmt0,lmt1
1679117910509,FBWA,8.83,12.96,-7.766491889953613,110.2339096069336,-10.81,-2.3,211.66,18.45,-13.88,0.09,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.48,-0.48,1544,1611,1511,1000,0.0,1.0
1679117910568,FBWA,9.13,13.38,-7.766491889953613,110.2339096069336,-9.63,-2.03,213.94,18.14,-4.34,0.03,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.66,-0.66,1500,1588,1500,1000,0.0,1.0
1679117910600,FBWA,9.16,12.33,-7.766491889953613,110.2339096069336,-8.16,-2.09,214.32,17.83,-0.22,1.89,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.93,-0.93,1600,1666,1522,1000,0.0,3.0
1679117910799,FBWA,9.09,11.87,-7.766491889953613,110.2339096069336,-4.75,-2.11,214.62,17.52,0.0,9.36,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.95,-0.95,1400,1900,1478,1000,0.0,3.0
1679117910847,FBWA,9.12,12.31,-7.766491889953613,110.2339096069336,-3.83,-0.14,212.97,17.19,1.65,13.69,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-1.03,-1.03,1666,1888,1544,1000,0.0,3.0
1679117910883,FBWA,9.17,12.42,-7.766491889953613,110.2339096069336,-2.02,3.76,212.47,16.88,0.0,5.73,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.8,-0.8,1356,1467,1467,1000,0.0,3.0
1679117911001,FBWA,9.09,11.81,-7.766575813293457,110.23384094238281,-1.42,5.35,211.36,16.63,0.0,1.89,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-1.25,-1.25,1533,1400,1511,1050,0.0,3.0
1679117911107,FBWA,8.98,11.58,-7.766575813293457,110.23384094238281,-1.05,2.43,211.56,16.35,-0.11,0.21,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-1.08,-1.08,1500,1533,1500,1070,0.0,3.0
1679117911261,FBWA,8.84,11.34,-7.766575813293457,110.23384094238281,-1.16,-1.73,210.11,16.07,-0.11,0.09,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-1.08,-1.08,1588,1644,1522,1140,0.0,1.0
1679117911294,FBWA,8.77,11.54,-7.766575813293457,110.23384094238281,-0.93,-3.31,210.2,15.73,-0.22,0.09,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-0.91,-0.91,1555,1633,1511,1160,0.0,1.0
1679117911493,FBWA,8.66,11.29,-7.766575813293457,110.23384094238281,-0.84,-3.24,209.53,15.4,-0.22,0.09,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-0.9,-0.9,1555,1577,1511,1310,0.0,1.0
1679117911566,FBWA,8.59,11.35,-7.766575813293457,110.23384094238281,-1.1,-3.19,211.56,15.16,-0.11,0.09,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-0.82,-0.82,1733,1577,1566,1360,0.0,1.0
1679117911663,FBWA,8.51,11.22,-7.766575813293457,110.23384094238281,-0.99,-2.8,210.64,14.97,-0.11,0.09,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-1.07,-1.07,1212,1577,1412,1360,0.0,1.0
1679117911803,FBWA,8.45,11.26,-7.766575813293457,110.23384094238281,-2.01,-1.84,210.74,14.88,0.0,0.09,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-0.95,-0.95,1877,1544,1611,1310,0.0,1.0
1679117911803,FBWA,8.39,11.24,-7.766575813293457,110.23384094238281,-1.55,-0.9,213.93,14.87,-0.11,0.21,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-0.96,-0.96,1500,1511,1500,1370,0.0,1.0
1679117912002,FBWA,8.24,10.66,-7.766575813293457,110.23384094238281,-0.95,-0.33,214.31,14.83,0.0,2.26,45.0,80.0,17.0,0.53,12.0,88.72,203.41,42.86,-1.31,-1.31,1633,1555,1555,1350,0.0,1.0
1679117912061,FBWA,8.01,10.17,-7.766654968261719,110.23379516601562,-0.99,0.24,213.6,14.78,0.0,0.21,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.94,-1.94,1511,1478,1500,1130,0.0,1.0
1679117912110,FBWA,7.83,10.17,-7.766654968261719,110.23379516601562,0.28,0.5,213.96,14.72,0.0,0.09,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.86,-1.86,1400,1500,1467,1000,0.0,1.0
1679117912233,FBWA,7.66,10.01,-7.766654968261719,110.23379516601562,-0.68,-0.29,213.47,14.53,0.0,0.0,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.87,-1.87,1788,1533,1577,1000,0.0,1.0
1679117912269,FBWA,7.74,11.15,-7.766654968261719,110.23379516601562,-1.42,-1.13,213.84,14.33,-0.11,-0.83,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-2.02,-2.02,1145,1511,1400,1000,0.0,1.0
1679117912497,FBWA,7.55,9.81,-7.766654968261719,110.23379516601562,2.08,-1.77,214.88,14.03,-1.21,0.09,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.82,-1.82,1145,1577,1400,1000,0.0,1.0
1679117912619,FBWA,7.41,9.91,-7.766654968261719,110.23379516601562,0.66,-2.48,212.93,13.73,-0.38,0.09,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.95,-1.95,1777,1600,1577,1000,0.0,1.0
1679117912698,FBWA,7.42,10.51,-7.766654968261719,110.23379516601562,0.01,-3.03,212.53,13.49,0.0,0.09,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.84,-1.84,1300,1611,1445,1000,0.0,1.0
1679117912758,FBWA,7.3,9.86,-7.766654968261719,110.23379516601562,1.43,-3.38,212.7,13.26,0.0,0.09,45.0,80.0,17.0,0.53,12.0,88.72,197.84,42.86,-1.68,-1.68,1478,1622,1500,1000,0.0,1.0
