time=1679117909752 mode=FBWA aspd=7.76 gspd=10.59 lat=-7.7664055824279785 lon=110.23395538330078 r=1.35 p=-3.45 y=211.83 alt=20.48 navr=-0.22 navp=0 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=208.13 rad=42.86 latacc=-0.33 climb=-0.33 srv=1566 1611 1522 1000 lmt=0 1
time=1679117909753 mode=FBWA aspd=7.85 gspd=11.24 lat=-7.7664055824279785 lon=110.23395538330078 r=-0.45 p=-3.19 y=212.46 alt=20.21 navr=-0.27 navp=0 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=208.13 rad=42.86 latacc=-0.49 climb=-0.49 srv=1500 1588 1500 1000 lmt=0 1
time=1679117909985 mode=FBWA aspd=7.73 gspd=10.33 lat=-7.7664055824279785 lon=110.23395538330078 r=1.44 p=-2.92 y=213.39 alt=19.93 navr=-0.49 navp=0 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=208.13 rad=42.86 latacc=-0.53 climb=-0.53 srv=1356 1600 1467 1000 lmt=0 1
time=1679117910074 mode=FBWA aspd=7.92 gspd=11.73 lat=-7.766491889953613 lon=110.2339096069336 r=-0.37 p=-3.16 y=211.69 alt=19.65 navr=-4.5 navp=0.09 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.81 climb=-0.81 srv=1566 1622 1511 1000 lmt=0 1
time=1679117910153 mode=FBWA aspd=8.04 gspd=11.59 lat=-7.766491889953613 lon=110.2339096069336 r=-0.58 p=-3.4 y=212.01 alt=19.37 navr=-10.76 navp=0.09 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.57 climb=-0.57 srv=1134 1611 1400 1000 lmt=0 1
time=1679117910190 mode=FBWA aspd=8.22 gspd=11.97 lat=-7.766491889953613 lon=110.2339096069336 r=-3.46 p=-3.02 y=210.44 alt=19.05 navr=-23.21 navp=0.49 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.64 climb=-0.64 srv=1234 1600 1423 1000 lmt=0 1
time=1679117910386 mode=FBWA aspd=8.56 gspd=12.96 lat=-7.766491889953613 lon=110.2339096069336 r=-7.42 p=-2.55 y=210.61 alt=18.74 navr=-17.18 navp=0.21 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.45 climb=-0.45 srv=1611 1600 1522 1000 lmt=0 1
time=1679117910509 mode=FBWA aspd=8.83 gspd=12.96 lat=-7.766491889953613 lon=110.2339096069336 r=-10.81 p=-2.3 y=211.66 alt=18.45 navr=-13.88 navp=0.09 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.48 climb=-0.48 srv=1544 1611 1511 1000 lmt=0 1
time=1679117910568 mode=FBWA aspd=9.13 gspd=13.38 lat=-7.766491889953613 lon=110.2339096069336 r=-9.63 p=-2.03 y=213.94 alt=18.14 navr=-4.34 navp=0.03 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.66 climb=-0.66 srv=1500 1588 1500 1000 lmt=0 1
time=1679117910600 mode=FBWA aspd=9.16 gspd=12.33 lat=-7.766491889953613 lon=110.2339096069336 r=-8.16 p=-2.09 y=214.32 alt=17.83 navr=-0.22 navp=1.89 navy=45 navalt=80 navspeed=17 hdop=0.53 sat=12 turn=88.72 bearing=207.47 rad=42.86 latacc=-0.93 climb=-0.93 srv=1600 1666 1522 1000 lmt=0 3
